"scenario","region","sources","param","units","class","x","value"
"Local Data","South Korea","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Southeast Asia","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Taiwan","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","Uruguay","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","a Coal",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","c Gas",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","e Oil",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","g Biomass",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","i Nuclear",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","j Geothermal",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","k Hydro",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","l Wind",2010,0
"Local Data","USA","Sources","elecCapBySubsector","Electricity Capacity (GW)","m Solar",2010,0
