"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2045,336.53397025278,1.21152229291
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2050,358.14863754167,1.28933509515
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2055,"Year","Vint_2055","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2055,374.935094744447,1.34976634108
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2060,"Year","Vint_2060","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2060,391.344536588892,1.40884033172
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2065,"Year","Vint_2065","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2065,407.331621694448,1.4663938381
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2070,"Year","Vint_2070","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2070,423.190104155559,1.52348437496
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2075,"Year","Vint_2075","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2075,437.809436500004,1.5761139714
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2080,"Year","Vint_2080","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2080,450.274611913892,1.62098860289
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2085,"Year","Vint_2085","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2085,461.649958786115,1.66193985163
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2090,"Year","Vint_2090","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2090,473.749374830559,1.70549774939
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2095,"Year","Vint_2095","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2095,483.811617450004,1.74172182282
"Eg1","Argentina","finalNrgbySec","Sources","transportation","class2",2100,"Year","Vint_2100","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2100,490.882215958337,1.76717597745
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",1990,101.823564166667,0.366564831
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2005,147.530000000001,0.531108
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2010,181.500971916668,0.6534034989
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2015,198.057831583335,0.7130081937
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2020,212.304799638891,0.7642972787
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2025,241.713899361113,0.8701700377
