scenario,region,units,subRegion,x,value,subRegType,class,param
SSP2_Ref,China,km3,China_Coast,2015,19.42539803,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Ganges_Bramaputra,2015,0.155589461,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Gobi_Interior,2015,6.6429631,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Hainan,2015,0.376012827,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Hong_(Red_River),2015,0.639562017,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Huang_He,2015,18.88466881,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Indus,2015,0.000161,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Irrawaddy,2015,0.248229988,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Lake_Balkash,2015,1.179756996,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Mekong,2015,0.681865344,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Ob,2015,0.251115242,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Russia_South_East_Coast,2015,0.156770534,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,South_China_Sea_Coast,2015,0.88460086,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Salween,2015,0.263655921,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Tarim_Interior,2015,7.715005106,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Plateau_of_Tibet_Interior,2015,0.000492,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Xun_Jiang,2015,3.109502954,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Yangtze,2015,32.5874661,GCAMBasin,Water,waterConsumption
